Experiment ID                :  scatter
Problem Type                 :  PS
Data Input File Name         :  NA
Number of Runs               :  2
Generations per Run          :  200
Population Size              :  100
Selection Method             :  1
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  1
Crossover Rate               :  0.4
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75982
Number of Genes/Points       :  48
Size of Genes                :  1


 R   2 G 123########### 684619.915   1802.786
 R   2 G 124########### 684813.836   1709.784
 R   2 G 125########### 684542.346   1832.876
 R   2 G 126########### 684542.346   1832.876
 R   2 G 127########### 684813.836   1709.784
 R   2 G 128########### 684813.836   1709.784
 R   2 G 129########### 684464.777   1859.215
 R   2 G 130########### 684619.915   1802.786
 R   2 G 131########### 684387.209   1881.958
 R   2 G 132########### 684775.052   1730.542
 R   2 G 133########### 684697.483   1768.752
 R   2 G 134###########  684581.13   1818.311
 R   2 G 135########### 684658.699   1786.276
 R   2 G 136########### 684619.915   1802.786
 R   2 G 137########### 684464.777   1859.215
 R   2 G 138########### 684697.483   1768.752
 R   2 G 139########### 684542.346   1832.876
 R   2 G 140########### 684387.209   1881.958
 R   2 G 141###########  684309.64   1901.236
 R   2 G 142########### 684193.287   1923.878
 R   2 G 143########### 683999.365   1945.475
 R   2 G 144###########  684038.15    1942.74
 R   2 G 145########### 683766.659   1945.475
 R   2 G 146########### 683805.443   1947.427
 R   2 G 147########### 683844.228   1948.597
 R   2 G 148########### 683921.796   1948.597
 R   2 G 149########### 683883.012   1948.986
 R   2 G 150########### 683960.581   1947.427
 R   2 G 151########### 683727.875    1942.74
 R   2 G 152###########  683689.09   1939.217
 R   2 G 153########### 683650.306   1934.903
 R   2 G 154########### 683766.659   1945.475
 R   2 G 155########### 683844.228   1948.597
 R   2 G 156########### 683650.306   1934.903
 R   2 G 157########### 683495.169   1909.609
 R   2 G 158########### 683262.463   1846.504
 R   2 G 159########### 683301.247   1859.215
 R   2 G 160########### 683533.953   1917.153
 R   2 G 161########### 683262.463   1846.504
 R   2 G 162########### 683301.247   1859.215
 R   2 G 163########### 683068.541   1768.752
 R   2 G 164########### 682952.188   1709.784
 R   2 G 165########### 682952.188   1709.784
 R   2 G 166########### 682835.835   1640.394
 R   2 G 167########### 682874.619   1664.758
 R   2 G 168########### 682835.835   1640.394
 R   2 G 169########### 682913.404   1687.872
 R   2 G 170########### 682719.482   1559.189
 R   2 G 171########### 682564.345    1429.02
 R   2 G 172########### 682641.913   1497.552
 R   2 G 173########### 682835.835   1640.394
 R   2 G 174########### 682797.051   1614.721
 R   2 G 175########### 682603.129   1464.206
 R   2 G 176########### 682370.423   1219.636
 R   2 G 177########### 682409.207   1266.691
 R   2 G 178########### 682409.207   1266.691
 R   2 G 179########### 682292.854   1115.529
 R   2 G 180###########  682525.56   1391.855
 R   2 G 181###########  682525.56   1391.855
 R   2 G 182########### 682331.639   1169.392
 R   2 G 183###########  682525.56   1391.855
